epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.19736263155937195,2.4559693336486816,0.001,0.0488034188747406,2001.511962890625
1,0.29020145535469055,2.127960681915283,0.001,0.04952991381287575,4640.74169921875
2,0.3635164797306061,1.8708287477493286,0.001,0.036666665226221085,4406.09814453125
3,0.41721612215042114,1.696689248085022,0.001,0.043589744716882706,5078.30712890625
4,0.5037912130355835,1.4231435060501099,0.0005,0.045897435396909714,6885.0791015625
5,0.5671428442001343,1.2359867095947266,0.0005,0.04115384444594383,7662.5087890625
6,0.6305677890777588,1.0413494110107422,0.00025,0.04076923057436943,11086.5576171875
7,0.6662454009056091,0.9424110054969788,0.00025,0.03641025722026825,12766.0830078125
8,0.6986629962921143,0.8533178567886353,0.000125,0.03512820601463318,12470.728515625
9,0.7158058881759644,0.8025943636894226,0.000125,0.040811967104673386,14079.51171875
10,0.7330402731895447,0.7541320323944092,6.25e-05,0.04123931750655174,15528.1572265625
11,0.7430586218833923,0.7272064685821533,6.25e-05,0.042905982583761215,15587.0712890625
