epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.47217947244644165,1.6538647413253784,0.001,0.11623931676149368,1375.789306640625
1,0.7108607888221741,0.8468654155731201,0.001,0.06482905894517899,2324.6611328125
2,0.785988986492157,0.623260498046875,0.001,0.06068376079201698,3813.307373046875
3,0.8517399430274963,0.4285046458244324,0.0005,0.05705128237605095,3952.7529296875
4,0.8735347986221313,0.3667107820510864,0.0005,0.05884615331888199,4472.83154296875
5,0.8972527384757996,0.2899036407470703,0.00025,0.047264955937862396,5254.57666015625
6,0.908608078956604,0.2622101902961731,0.00025,0.05735042691230774,4784.49560546875
7,0.920604407787323,0.23081889748573303,0.000125,0.05901709571480751,5137.56396484375
8,0.9262637495994568,0.2123347520828247,0.000125,0.062435898929834366,4918.3037109375
9,0.9329487085342407,0.19393876194953918,6.25e-05,0.05504273623228073,5794.5751953125
10,0.9327106475830078,0.19173584878444672,6.25e-05,0.056111112236976624,5742.451171875
11,0.9364469051361084,0.1832312047481537,3.125e-05,0.05329059809446335,6022.85107421875
12,0.9373260140419006,0.18230457603931427,3.125e-05,0.053034186363220215,6003.919921875
13,0.9381318688392639,0.17866547405719757,1.5625e-05,0.055213674902915955,5864.9140625
14,0.939230740070343,0.17180496454238892,1.5625e-05,0.054700855165719986,5800.26513671875
15,0.9409890174865723,0.17193037271499634,1e-05,0.05495726317167282,5878.6689453125
16,0.9400915503501892,0.1726919561624527,1e-05,0.055213674902915955,5776.72607421875
17,0.9399633407592773,0.17230470478534698,1e-05,0.05512820556759834,5878.43603515625
18,0.9419047832489014,0.16665907204151154,1e-05,0.0547863245010376,5901.4775390625
19,0.9402564167976379,0.1720639020204544,1e-05,0.05525641143321991,5903.29638671875
