epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4511355459690094,1.7405520677566528,0.001,0.6764102578163147,0.9757858514785767
1,0.7173992395401001,0.8243066668510437,0.001,0.7221367359161377,0.9950461387634277
2,0.8025457859039307,0.5728127956390381,0.001,0.8338888883590698,0.4944494962692261
3,0.8436080813407898,0.45295098423957825,0.001,0.8811965584754944,0.356577605009079
4,0.8689194321632385,0.38136985898017883,0.001,0.9287179708480835,0.2215803861618042
5,0.8850916028022766,0.33579161763191223,0.001,0.8862820267677307,0.4017269015312195
6,0.9005128145217896,0.29308122396469116,0.001,0.5664102435112,2.858285665512085
7,0.9302197694778442,0.20083105564117432,0.0005,0.8698290586471558,0.4329085350036621
8,0.9418131709098816,0.16818228363990784,0.0005,0.943461537361145,0.18264944851398468
9,0.9431135654449463,0.1631973534822464,0.0005,0.8377350568771362,0.7535821199417114
10,0.9494138956069946,0.1471962183713913,0.0005,0.9335897564888,0.23202729225158691
11,0.9618681073188782,0.11359473317861557,0.00025,0.9110683798789978,0.3053015172481537
12,0.9657509326934814,0.1032727062702179,0.00025,0.9842734932899475,0.04355481639504433
13,0.9674908518791199,0.09465808421373367,0.00025,0.9847008585929871,0.040997158735990524
14,0.9693772792816162,0.09128524363040924,0.00025,0.7965384721755981,0.9581816792488098
15,0.9701831340789795,0.08943137526512146,0.00025,0.986923098564148,0.038761552423238754
16,0.9700915813446045,0.08860219269990921,0.00025,0.9828632473945618,0.04903271794319153
17,0.9711538553237915,0.08287010341882706,0.00025,0.9677777886390686,0.08867715299129486
18,0.9755311608314514,0.07201537489891052,0.000125,0.9571367502212524,0.13009922206401825
19,0.9777838587760925,0.06552929431200027,0.000125,0.9834188222885132,0.04564407095313072
20,0.9800732731819153,0.05959318205714226,6.25e-05,0.9555982947349548,0.14349134266376495
21,0.9801831245422363,0.05790369585156441,6.25e-05,0.9699572920799255,0.08623024821281433
22,0.9812820553779602,0.0568045973777771,3.125e-05,0.9762820601463318,0.06297051161527634
23,0.982454240322113,0.05368714779615402,3.125e-05,0.9698718190193176,0.08658099919557571
24,0.9821245670318604,0.05379372462630272,1.5625e-05,0.9821367263793945,0.04694952443242073
25,0.9819963574409485,0.05187131464481354,1.5625e-05,0.9759401679039001,0.06495241820812225
26,0.9824358820915222,0.05222573131322861,1e-05,0.9735042452812195,0.07189500331878662
27,0.9829853773117065,0.05046726390719414,1e-05,0.9779487252235413,0.057768091559410095
28,0.9830952286720276,0.04861963167786598,1e-05,0.9745726585388184,0.0699455589056015
29,0.9828205108642578,0.049547888338565826,1e-05,0.981453001499176,0.04915997385978699
30,0.9823809266090393,0.052845075726509094,1e-05,0.9782906174659729,0.059601638466119766
31,0.9838278293609619,0.05037422105669975,1e-05,0.9770085215568542,0.06286489963531494
32,0.9829853773117065,0.0517951175570488,1e-05,0.9816239476203918,0.049122173339128494
33,0.9834066033363342,0.049081940203905106,1e-05,0.9795726537704468,0.055656157433986664
34,0.9831684827804565,0.05063469335436821,1e-05,0.9754273295402527,0.07032366096973419
