epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5947028994560242,1.3118635416030884,0.001,0.05560276657342911,4.137131214141846
1,0.885680079460144,0.33869263529777527,0.001,0.132451131939888,3.392547607421875
2,0.947288990020752,0.16910400986671448,0.001,0.6691756844520569,1.1553559303283691
3,0.9685190916061401,0.10024817287921906,0.001,0.9184169173240662,0.24613378942012787
4,0.974971354007721,0.07614168524742126,0.001,0.9968435168266296,0.019544193521142006
5,0.9822041988372803,0.05542990565299988,0.001,0.9997571706771851,0.003870536806061864
6,0.9864189624786377,0.044528212398290634,0.001,0.9940512180328369,0.016800925135612488
7,0.9887605309486389,0.036620836704969406,0.001,0.9426975846290588,0.16888627409934998
8,0.9928192496299744,0.023060983046889305,0.0005,0.9997571706771851,0.0023679109290242195
9,0.9949526190757751,0.017324162647128105,0.0005,0.9998785853385925,0.001874090638011694
10,0.9953688979148865,0.01618940196931362,0.0005,0.9997571706771851,0.0016608309233561158
11,0.9960453510284424,0.013958987779915333,0.0005,1.0,0.0006485703052021563
12,0.9957331418991089,0.0145217664539814,0.0005,1.0,0.0006560732144862413
13,0.9946925044059753,0.01704174280166626,0.0005,0.9998785853385925,0.0011691318359225988
14,0.9963575601577759,0.01181498821824789,0.00025,0.9998785853385925,0.0005799460341222584
15,0.9980226755142212,0.008294804021716118,0.00025,1.0,0.00032805174123495817
16,0.9977625012397766,0.008349240757524967,0.000125,1.0,0.00014592443767469376
17,0.9981787800788879,0.006342022214084864,0.000125,0.9998785853385925,0.0005658112931996584
18,0.998126745223999,0.007068432867527008,6.25e-05,1.0,9.318014781456441e-05
19,0.9980747103691101,0.006503094919025898,6.25e-05,1.0,8.298371540149674e-05
